id,transcription
2, Confronts and fronts to nature's plane Only a century before me tonight Face the way you've found your life And when the time slowly passes by Take a lover healthy and vain Leave yourself to make your wish Come true for you and me and us Now realize
5," I ought to leave my mane I ought to leave my mane Instead I sleep heavy on his bed When I, he ought to leave my mane Hold my heart and hold my waist The whole night through Hold my heart and hold my head Until the day is new"
18," You're left forsaken, all the love you've taken Sleeping on the razor, so well left to fall Your body's aching, every bone is breaking Nothing seems to shake it, just keeps holding on Your soul is able, death is all you can do"
21, 
31, Saturday sunrise my wife sitting up in the bed Sunday sunset my wife sitting up in the bed
41," Yes, the tape stays another guest of this little surrounding. Thank you. Thank you."
44, Nyaa Nyaa Nyaa Nyaa Nyaa Nyaa Nyaa Nyaa Nyaa
50, 
52," Give our voices renewed power Lighted magic, lost and tragic stories Backgrounds dignified every time we sing Of speech and song we recognize And our world divine Recognizing and our world divine Recognizing and our world divine"
53, 
54," See, I was burning And you cooled me And your loving nature Fooled me I was lost You said goodbye No tears in your eye I was broken"
58," I ride my pleasure circuit smoking all the time Now nothing's any fun anymore I lied when I told you everything was just fine Nothing's any fun anymore Nothing you can do, nothing you can say Ain't easy doing nothing, gotta do it anyway Nothing you can say, nothing you can do Nothing else that I can say to you"
64," New fashion has sold neatly, for rich paths into all new healings, into all new healing. Feel the touch of the hands of time, wind in love with the nights of the life. Flockings of the carcass we leave, fendings of the spirits nightly. The crimson wishes of Mason Chloe, undressed of the glowing world. Alien and unprofound, in cathedrals we all be."
68, 
72," Be the girl, seek control of your world, forget your crazy dream and make a home with her and work to give the day some meaning, minutes turn to hours, hours turn to years and then maybe I'll be dead, children in my stead, no, I ain't gonna take it, ain't gonna take it no more I'm found in a nation, I'm opening the door"
74," We decided to cancel that at the last minute and call it Real Women just kind of after that title track, although we didn't really want to. But the song itself, it's just kind of about the yearning for something more. That's it. Okay. Because one of the lyrics is like, you know, there's no real women anymore. Yeah, I mean, I just... I thought that might be a statement. Not really. I mean, it's just different times, you know? It's just different days we're living in. I'm not saying there isn't any. I'm just saying maybe they're harder to find. I don't know. No, no, this is just, you know, it's a lot of like little girly pop-tarty type, you know, whatever. So that might be what's in vogue. Just, you know, for the big fans."
77," I still know I'm convinced, taking summer's law to turn on the neighbor of which. Loving and free, loving and free, that's it."
79, 
81, We have already begun to create our new actions We have already begun We have already begun to create our newest actions We have already begun We have already begun
82," Down alone, some hell she cried I want my daddy by my side Home, going on Home, home, carrying on Because the evidence leaves a trace Of the man you were yesterday And where you are this morning Is far from the grave Home, going on"
91, 
92," too. We didn't notice, didn't notice the kids until we got the bill. Didn't notice the kids till they were tall enough to spill. I never knew my nurse, I never knew my nurse till I heard you say, baby you'll have your turn, baby you'll have your turn when you leave."
99," Got the cathedrals, our new holy seat. Build from the fancy and our infancy. Dressing in mockery, laid at your seat. Celebrating bridal's new intimacy. In wrong sweet ocean love."
107, Frankincense to offer have I Incense owns a deity nigh Prayer and praising all then raising Worship him God most high Oh star of wonder Star of night Star with royal beauty bright Westward
113," Come down, the circuits climb, the shuffle torrents, our holy shrine will paint our head so quick in sight. Explosion south of Nevermind, our sun will set, southwestern lights, desert clouds, the sky hangs high. So wonderful, some blessed thighs, the lives we ride, the tears we'll cry, forgive us now, or at least lie, and say you found us."
115," Call me Rick, call me the Rock. Well, now, now, now, now. Now, now, now, now. Call me the Rock, call me the Rock. Call me the Rock, call me the Rock. Call me the Rock. Hip! Yeah! Thank you."
118, America Shabbat Shalom
121," Into that corner, don't send me on another path The way you hold me close The way you, the way you feel me in Show me your hunger Show me the skin you got in the game Round one, we shuffle about Round two, saving grace is mile to mile Round three, we enter the jungle It's a fight of passion and flesh"
127, 
130, 
